"from","to","user","repo","stars"
"2016-01-01","2016-02-18","dgrtwo","gganimate","202"
"2016-01-01","2016-02-18","slowkow","ggrepel","191"
"2016-01-01","2016-02-18","softdorothy","glider_pro","178"
"2016-01-01","2016-02-18","walkerkq","textmining_southpark","121"
"2016-01-01","2016-02-18","thomasp85","ggraph","97"
"2016-01-01","2016-02-18","toddwschneider","nyc-citibike-data","81"
"2016-01-01","2016-02-18","thomasp85","tweenr","56"
"2016-01-01","2016-02-18","softdorothy","glider_4","47"
"2016-01-01","2016-02-18","thomasp85","ggforce","38"
"2016-01-01","2016-02-18","lionel-","ggstance","28"
"2016-01-01","2016-02-18","softdorothy","pararena_2","21"
"2016-01-01","2016-02-18","softdorothy","glypha_III","21"
"2016-01-01","2016-02-18","rstudio","tufte","21"
"2016-01-01","2016-02-18","yukiegosapporo","2016-01-12-mini-ai-app-using-tensorflow-and-shiny","18"
"2016-01-01","2016-02-18","wmurphyrd","BernieTax","18"
"2016-01-01","2016-02-18","kjhealy","vissoc.co","15"
"2016-01-01","2016-02-18","trinker","rnltk","15"
"2016-01-01","2016-02-18","hadley","monads","15"
"2016-01-01","2016-02-18","MangoTheCat","remotes","13"
"2016-01-01","2016-02-18","BillPetti","baseballr","13"
"2016-01-01","2016-02-18","Keiku","kaggle-airbnb-recruiting-new-user-bookings","13"
"2016-01-01","2016-02-18","leeper","ghit","11"
"2016-01-01","2016-02-18","ellisp","ggseas","9"
"2016-01-01","2016-02-18","rohanrao91","AnalyticsVidhya_LastManStanding","8"
"2016-01-01","2016-02-18","rohanrao91","Kaggle_AirBnB","8"
"2016-01-01","2016-02-18","mcpasin","schedule-Rmarkdown-report-via-email","7"
"2016-01-01","2016-02-18","kateto","R-igraph-Network-Workshop-NetSciX","7"
"2016-01-01","2016-02-18","yrochat","twitterplayssnake","7"
"2016-01-01","2016-02-18","MangoTheCat","swli","6"
"2016-01-01","2016-02-18","hadley","hadladdin","6"
"from","to","user","repo","stars"
"2016-02-01","2016-03-01","dgrtwo","gganimate","211"
"2016-02-01","2016-03-01","walkerkq","textmining_southpark","135"
"2016-02-01","2016-03-01","thomasp85","tweenr","56"
"2016-02-01","2016-03-01","Keiku","kaggle-airbnb-recruiting-new-user-bookings","21"
"2016-02-01","2016-03-01","calligross","ggthemeassist","17"
"2016-02-01","2016-03-01","kjhealy","vissoc.co","16"
"2016-02-01","2016-03-01","hadley","monads","16"
"2016-02-01","2016-03-01","ottlngr","ggThemeR","14"
"2016-02-01","2016-03-01","mexindian","TileMaker","10"
"2016-02-01","2016-03-01","ellisp","ggseas","9"
"2016-02-01","2016-03-01","rohanrao91","Kaggle_AirBnB","8"
"2016-02-01","2016-03-01","wrathematics","getPass","8"
"2016-02-01","2016-03-01","kjhealy","endlabel-example","7"
"2016-02-01","2016-03-01","tonyfujs","upshot_scalia","7"
"2016-02-01","2016-03-01","lgatto","2016-02-25-adv-programming-EMBL","6"
"2016-02-01","2016-03-01","dahtah","eyelinker","6"
"2016-02-01","2016-03-01","expersso","WHO","5"
"2016-02-01","2016-03-01","walkerke","texas_pyramids","5"
"2016-02-01","2016-03-01","pcbrom","facebook.bot.parabens","5"
"2016-02-01","2016-03-01","seankross","minimap","5"
"2016-02-01","2016-03-01","paragkale","kaggle-airbnb","4"
"2016-02-01","2016-03-01","paul-shannon","igvR","4"
"2016-02-01","2016-03-01","bishwarup307","AV_Last_Man_Standing","4"
"2016-02-01","2016-03-01","kmunger","Text_as_Data","4"
"2016-02-01","2016-03-01","expersso","pdftables","3"
"2016-02-01","2016-03-01","thibautjombart","dibbler","3"
"2016-02-01","2016-03-01","jennybc","bingo","3"
"2016-02-01","2016-03-01","richfitz","odin","3"
"2016-02-01","2016-03-01","michaelpawlus","fundraising_analytics","3"
"2016-02-01","2016-03-01","ZacharyST","Twitter_AssignToCountry","3"
"2016-02-13","2016-03-14","toddwschneider","ballr","201"
"2016-02-13","2016-03-14","calligross","ggthemeassist","33"
"2016-02-13","2016-03-14","Keiku","kaggle-airbnb-recruiting-new-user-bookings","24"
"2016-02-13","2016-03-14","mikeskim","dboost","18"
"2016-02-13","2016-03-14","gaborcsardi","prompt","16"
"2016-02-13","2016-03-14","hadley","dtplyr","15"
"2016-02-13","2016-03-14","ottlngr","ggThemeR","14"
"2016-02-13","2016-03-14","mexindian","TileMaker","12"
"2016-02-13","2016-03-14","trestletech","eigencoder","11"
"2016-02-13","2016-03-14","wrathematics","getPass","9"
"2016-02-13","2016-03-14","maksimhorowitz","nflscrapR","8"
"2016-02-13","2016-03-14","kjhealy","endlabel-example","7"
"2016-02-13","2016-03-14","dgrtwo","fuzzyjoin","7"
"2016-02-13","2016-03-14","ifunam","programacion-estadistica-r","7"
"2016-02-13","2016-03-14","tonyfujs","upshot_scalia","7"
